"title","desciption","tags"
"آموزشگاه زبان شکوه دانش توس(ملاصدرا)","<div style=""text-align: center;""><span style=""color: inherit;"">(شعبه ملاصدرا- پسرانه 1)</span></div>
<h5>موسسه آموزشی زبان انگلیسی شکوه دانش توس بابیش از 40 سال سابقه درخشان</h5>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt-مکالمه-بحث آزاد"
"آموزشگاه زبان فرانسه اوستا","<p>&nbsp;شروع ترم تابستان کلاس های زبان فرانسه توسط اساتید مجرب دانشگاه فردوسی استاد خزایی-استاد بایگی- استاد بخشندگان</p>
<p>-دوره های عمومی مبتدی تا پیشرفته و نوجوانان</p>
<p>-دوره های امادگی آزمون TEF</p>
<p>-دوره Tef express ویژه کسانی که زمان زیادی برای شرکت در آزمون ندارند.</p>","فرانسوی-زبان فرانسوی-کلاس فرانسوی-آموزش فرانسوی-زبان فرانسه-آموزش فرانسوی مشهد-آموزشگاه فرانسوی مشهد-زبان فرانسوی-زبان فرانسوی مشهدتافل-آیلتس-مکالمه-بحث آزاد-انگلیسی-زبان انگلیسی"
"آموزشگاه زبان اترک(شماره تماس خاموش - در 118 ثبت نشده)","<h4 style=""text-align: center;"">آموزشگاه زبان</h4>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان شایان","<p style=""margin-top: -0.5em; margin-bottom: 1em; padding: 0px; direction: rtl; line-height: inherit;""><span style=""line-height: inherit;"">آکادمی زبان شایان، فعالیت خود را در مهر ماه سال ۱۳۸۸ با هدف آموزش کیفی زبان های خارجی با استفاده از متدها و منابع آموزشی روز دنیا و بهره گیری از کادر آموزشی برگزیده و کارآزموده آغاز نمود.</span></p>
<p style=""margin-top: 0px; margin-bottom: 1em; padding: 0px; direction: rtl; line-height: inherit;""><span style=""line-height: inherit;"">برنامه ریزی آموزشی دقیق و علمی، حفظ و ارتقاء کیفیت آموزشی، تنوع و تناسب دوره های آموزشی با نیازهای آموزشی زبان آموزان، افزایش بهره وری و کاهش مؤثر زمان آموزشی، آماده ساختن زبان آموزان برای شرکت در آزمون های بین المللی و &hellip; از جمله عوامل مورد توجه آکادمی زبان اندیشه شایان جهت جلب رضایت خاطر زبان آموزان ارجمند می باشد</span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان اوستا","<p>آموزشگاه زبان انگلیسی</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt-آلمانی-فرانسوی-مکالمه-بحث آزاد"
"آموزشگاه هنرهای تجسمی آروین فام","آموزشگاه هنرهای تجسمی فوق جهت سهیم کردن علاقمندان به هنر در چشیدن طعم لذت بخش خلاقیت هنری و آشنا کردن هنرجویان با روشهای نوین عرضه آثار هنری توسط جمعی از دانش آموختگان رشته هنر تاسیس گردیده است.
 تمام تلاش اساتید حرفه‌ای مجموعه طراحی آموزش های کاربردی و ایجاد دید هنری و خلاقانه در زندگی روزمره و انتقال هرچه بهتر این تجربیات و مهارت ها به هنرجویان بوده و در این خصوص نهایت تلاش خود را مبذول داشته اند. آموزشگاه هنرهای تجسمی آروین فام واقع در شهر مشهد و در محله هاشمیه است.","کلاس سفالگری-کلاس هنرهای تجسمی-کلاس مجسمه سازی-آموزش ویترای"
"آموزشگاه زبان شکوه ایران","<p>در دوران قبل از انقلاب اسلامی ایران با وجود فعال بودن موسساتی مانند ایران- امریکا (Iran America Society) و انجمن فرهنگی بریتانیا (British Council) در ایران موسسه شکوه به دلیل مجهز بودن به امکانات لازم، محل برگزاری امتحانات تافل و همچنین امتحانات دانشگاه کمبریج در ایران نیز بوده است. این روال بعد از انقلاب اسلامی ایران نیز ادامه یافت تا جایی که شکوه تنها مرکز برگزاری امتحانات تافل بین المللی (Paper Based) از سال ۱۳۷۰ الی ۱۳۷۹ در ایران بوده و پس از آن بعلت اعمال تحریم فرهنگی ایالات متحده در ایران این امتحان امکان برگزاری پیدا نکرد و همچنین در طی سالهای ۱۳۷۹ الی ۱۳۸۰ شکوه تنها مرکز بین المللی تربیت معلم زبان انگلیسی از طرف دانشگاه کمبریج انگلستان بوده است.<br />بعد از گذشت قریب به ۷ دهه از ایجاد شرکت شکوه ایران بر آن شدیم تا با بهره گیری از توان مدیریتی و علمی جوانان کشورمان به توسعه و پیشرفت هرچه بیشتر موسسه زبان شکوه بپردازدیم، تا همانند گذشته پیشتاز در آموزش زبان به هموطنان عزیزمان باشیم. رسالت شرکت شکوه همواره کمک به توسعه علم و فناوری جوانان این مرز و بوم بوده که ابزار نیل به این هدف در عصر حاضر یاد گیری زبان انگلیسی و همچنین فراگیری کامپیوتر می باشد که دو جزء جدا نشدنی از هم می باشند. امیدواریم به یاری خداوند متعال و همت زبان آموزان جوان بتوانیم گامی مهم در این راه که همانا پیشرفت ایران عزیز است برداریم.</p>
<p><span dir=""LTR"" style=""direction: rtl;"">&nbsp;</span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-مکالمه-بحث آزاد"
"آموزشگاه زبان بیستون(عدم پاسخگویی تلفن-در 118 هم ثبت نشده)","<p>آموزشگاه زبان&nbsp;</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان علوم و فنون پاراکس","<h4 style=""margin-top: 0px; margin-bottom: 15px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 14px; line-height: inherit; font-family: IRANSansWeb, Arial, Tahoma, sans-serif; vertical-align: baseline; color: #626262; text-align: justify;""><span style=""font-size: 18px;"">موسسه آموزشی علوم وفنون پاراکس، مرکز آموزش زبانهای خارجی در سال ۱۳۹۰ راه اندازی و تاسیس گردیده است. مدیران این موسسه بزرگ آموزشی با تجربیات موفق و بیش از ۱۵سال سابقه آموزشی و مدیریتی با هدف بازدهی بالاتر و سرعت بیشتر در فراگیری متقاضیان زبانهای خارجی تحت سیستم های نوین آموزشی، این موسسه را تاسیس نموده اند.</span></h4>
<h4 style=""margin-top: 0px; margin-bottom: 15px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 14px; line-height: inherit; font-family: IRANSansWeb, Arial, Tahoma, sans-serif; vertical-align: baseline; color: #626262; text-align: justify;""><span style=""font-size: 18px;"">از ابتدای سال ۱۳۹۷ موفق به دریافت مجوز برگزاری آزمون اصلی آیلتس در مشهد با همکاری موسسه عصر دین و دانش تهران گردیده است و در این زمینه موسسه پاراکس تنها موسسه آموزشی زبان در سطح شهر مشهد می باشد که امکان برگزاری این آزمون را دارد. همچنین با برنامه های تدوین شده و منظم و حضور اساتید مجرب در دوره های آمادگی آزمون آیلتس متقاضیان را برای کسب بهترین نتیجه در این آزمون مهم آماده می سازد. &nbsp;</span></h4>
<h4 style=""margin-top: 0px; margin-bottom: 15px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; font-size: 14px; line-height: inherit; font-family: IRANSansWeb, Arial, Tahoma, sans-serif; vertical-align: baseline; color: #626262; text-align: justify;""><span style=""font-size: 18px;"">با توجه به آنکه سن زبان آموز در شکل دادن به نیازها، انگیزه ها و فرآیند یادگیری نقش تعیین کننده ای را بازی می کند، موسسه آموزشی علوم و فنون پاراکس از معدود موسساتی است که دوره های خود را جداگانه در پنج گروه سنی نونهالان (۴-۳ سال)، خردسالان (۷-۴ سال)، کودکان (۱۲-۷ سال)، نوجوانان (۱۷-۱۲ سال) و بزرگسالان ارائه می کند.</span></h4>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان پارسیان(شماره موجود نمیباشد)","<h4 style=""text-align: center;"">تدریس زبان های فرانسه، آلمانی، و انگلیسی</h4>
<h4>بهره گیری از امکانات صوتی و تصویری مناسب ( کامپیوترو DVD Player) مجزا در هر کلاس.</h4>
<h4 style=""text-align: right;""><span dir=""rtl"">بهره گیری از پرسنل متعهد،مجرب و رفتار مبتنی بر مشتری مداری.</span></h4>
<h4 style=""text-align: right;""><span dir=""rtl"">ایجاد محیطی آرام مجهز، دوستانه و آموزشی.</span></h4>","فکلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی-زبان فرانسوی- فرانسه-عربی-آلمانی-ترکی استانبولی-ایتالیایی-اسپانیولی-اسپانیایی"
"آموزشگاه زبان پاسارگاد(شماره اشتباه است)","<h4 style=""text-align: center;"">آموزشگاه زبان</h4>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان سما (شعبه 1)","<h5 style=""margin-top: 0px; margin-bottom: 10px; text-align: center;"">آموزشگاه زبان پسرانه سما شعبه 1</h5>
<h5 style=""margin-top: 0px; margin-bottom: 10px;"">مرکز آموزشی و فرهنگی سما در چهار حوزه مهم آموزش عمومی و فرهنگ ، آموزش عالی ، زبان آموزی و اشتغال زایی تلاش و همت فراوان داشته است و اکنون پس از گذشت بیش از ربع قرن تلاش :<br /><span style=""line-height: 22.8267px;"">در حوزه آموزش عمومی و مدرسه داری :</span><span style=""line-height: 22.8267px;"">14 آموزشگاه غیرانتفاعی در مشهد و گلبهار با بیش از 3000 دانش آموز از دوره پیش دبستانی تا دبیرستان<br /></span><span style=""line-height: 22.8267px;"">در حوزه آموزش عالی و مهارت :</span><span style=""line-height: 22.8267px;"">یک واحد آموزشكده فنی و حرفه ای با بيش از 2500 دانشجوی مقطع کاردانی ، 35 استاد هیات علمی و تعداد 14 رشته تحصیلی فنی و حرفه ای<br /></span><span style=""line-height: 22.8267px;"">در حوزه زبان آموزی :</span><span style=""line-height: 22.8267px;"">3 آموزشگاه زبانهای خارجی با حدود 400 زبان آموز<br /></span><span style=""line-height: 22.8267px;"">در حوزه اشتغال زایی :</span><span style=""line-height: 22.8267px;"">تعداد 107 نفر پرسنل استخدامی ، 35 عضو هیات علمی استخدامی و حدود 600 استاد و معلم به صورت حق التدریس در مجموعه مرکز آموزشی و فرهنگی سما مشهد شاغل هستند</span></h5>","فکلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی-"
"آموزشگاه زبان جهان علم (مرکزی)","<div style=""text-align: center;""><span style=""text-align: justify; color: inherit;""> (شعبه مرکزی)</span></div>
<h5><span style=""-webkit-font-smoothing: antialiased; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; line-height: inherit; vertical-align: baseline; direction: rtl; text-align: justify;"">موسسه آموزش عالی آزاد جهان علم و پژوهش</span><span style=""text-align: justify;"">&nbsp;با چند مركز و با در اختيار داشتن بيش از 200 نفر نيروي اداری و آموزشی&nbsp; و سابقه آموزشی طولانی خود و با ارائه سيستمی منحصر به فرد برای سطوح متفاوت توانسته است طيف گسترده ای از علاقه مندان به زبانهای ( انگليسی &ndash; آلمانی &ndash;روسی &ndash;فرانسه- ايتاليايی - اسپانیولی - ترکی و عربی - چینی ) در دوره های كاربردی زبان را به مركز جلب كند.</span><br style=""-webkit-font-smoothing: antialiased; direction: rtl; text-align: justify;"" /><span style=""text-align: justify;"">&nbsp;موسسه تحت مديريت و نظارت افرادی كه خود از اساتيد دانشگاه بوده و تجربه ای طولانی در امر تدريس دارند می باشد. تمامی كتب و برنامه آموزشی منطبق با اطلاعات روزدنيا ميباشد.</span><br style=""-webkit-font-smoothing: antialiased; direction: rtl; text-align: justify;"" /><span style=""text-align: justify;"">اين موسسه همچنين در راستای برگزاری دوره های كاركنان دولت مجوز سازمان مديريت و برنامه ريزي كشور را به شماره 1803/198157دريافت نموده است.</span></h5>","کلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی-زبان فرانسوی- فرانسه-عربی-آلمانی-کره-چینی-روسی-ایتالیایی-اسپانیولی-آیلتس"
"آموزشگاه زبان حافظ (پسران)","<p>آموزشگاه زبان حافظ در سال 1376 پا به عرصه انجام امور آموزشي گذاشت. این آموزشگاه یکی از مطرح ترین آموزشگاه های زبان در سطح شهر مشهد مقدس گشت و در حال حاضر اين آموزشگاه با بهره گيري از اساتيد مجرب و كارآزموده درحد بين المللي امور آموزشی را انجام مي دهد.</p>
<p>موسسه زبان هاي خارجي حافظ با چند مركز و با در اختيار داشتن بيش از 100نفر نيروي اداري وآموزشي &nbsp;و سابقه آموزشي طولاني خود و با ارائه سيستمي منحصر به فرد براي سطوح متفاوت توانسته است طيف گسترده ای از علاقه مندان به زبانهای ( انگليسي -چینی -آلماني -روسي -فرانسه -ترکی استانبولی- &nbsp;ايتاليايي - اسپانیولی - عربی ) و در دوره های كاربردی زبان را به این مركز جلب كند.موسسه تحت مديريت و نظارت افرادی كه خود از اساتيد دانشگاه بوده و تجربه ای طولاني در امر تدريس دارند مي باشد. تمامي كتب و برنامه آموزشي منطبق با اطلاعات روز دنيا می باشد.</p>
<p>موسسه علاوه بر کلاس های ترمی زبان جهت بهبهود سطح زبانی، زبان آموزان کلاسهایی نظیر: فیلم، مکالمه آزاد، برگزاری لابراتوار، خوشنویسی، نقد و بررسی فیلم و... نیز برگزار مینماید.</p>
<p>موسسه زبانهای خارجی حافظ و جهان علم اقدام به برگزاری کلاس های ویژه زبان برای نهاد ها، ادارات، و موسسات معتبر به عنوان دوره های آموزش عمومی زبان، نامه نگاری و نوشتن ایمیل، آمادگی بین المللی TOFEL - IELTS مکالمه ویژه برای گروههای مختلف (پزشکان، مهندسان و...) مینماید.</p>
<div>- کلاس های مکالمه CO، و برگزاری دوره های COMP، FCE،CAE، CPE</div>
<p>- کلاسهای نقد و بررسی فیلم</p>
<p>- کلاس های ویژه CURSIVE WRITING خوشنویسی انگلیسی</p>
<p>- PANEL بحث آزاد</p>
<p>- برگزاری آزمون های MSRT (یا MSHE)،&nbsp;</p>
<p>-برگزاری آزمون های بین المللی GRE، TOEIC، TOLIMO</p>
<p>- برگزاری دوره های TTC، مکالمه تخصصی، مکالمه تجاری، کارگاه ترجمه</p>","فکلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی"
"آموزشگاه زبان حافظ (دختران)","<p><span style=""-webkit-font-smoothing: antialiased; margin: 0px; padding: 0px; border: 0px; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-stretch: inherit; line-height: inherit; vertical-align: baseline; direction: rtl; text-align: justify;"">موسسه زبانهای خارجي حافظ قرن ارتباطات</span><span style=""text-align: justify;"">&nbsp;با چند مركز و با در اختيار داشتن بيش از 200 نفر نيروي اداری و آموزشی &nbsp;و سابقه آموزشی طولانی خود و با ارائه سيستمی منحصر به فرد برای سطوح متفاوت توانسته است طيف گسترده ای از علاقه مندان به زبانهای ( انگليسی &ndash; آلمانی &ndash;روسی &ndash;فرانسه- ايتاليايی - اسپانیولی - ترکی و عربی ) در دوره های كاربردی زبان را به مركز جلب كند.</span></p>
<p><span style=""text-align: justify;"">&nbsp;موسسه تحت مديريت و نظارت افرادی كه خود از اساتيد دانشگاه بوده و تجربه ای طولانی در امر تدريس دارند می باشد. تمامی كتب و برنامه آموزشی منطبق با اطلاعات روزدنيا ميباشد.</span></p>
<p><span style=""text-align: justify;"">اين موسسه همچنين در راستای برگزاری دوره های كاركنان دولت مجوز سازمان مديريت و برنامه ريزي كشور را به شماره 1803/198157دريافت نموده است.</span></p>
<p>موسسه علاوه بر کلاس های ترمی زبان جهت بهبهود سطح زبانی، زبان آموزان کلاسهایی نظیر: فیلم، مکالمه آزاد، برگزاری لابراتوار، خوشنویسی، نقد و بررسی فیلم و... نیز برگزار مینماید.</p>
<p>موسسه زبانهای خارجی حافظ و جهان علم اقدام به برگزاری کلاس های ویژه زبان برای نهاد ها، ادارات، و موسسات معتبر به عنوان دوره های آموزش عمومی زبان، نامه نگاری و نوشتن ایمیل، آمادگی بین المللی TOFEL - IELTS مکالمه ویژه برای گروههای مختلف (پزشکان، مهندسان و...) مینماید.</p>
<div>- کلاس های مکالمه CO، و برگزاری دوره های COMP، FCE،CAE، CPE</div>
<p>- کلاسهای نقد و بررسی فیلم</p>
<p>- کلاس های ویژه CURSIVE WRITING خوشنویسی انگلیسی</p>
<p>- PANEL بحث آزاد</p>
<p>- برگزاری آزمون های MSRT (یا MSHE)،&nbsp;</p>
<p>-برگزاری آزمون های بین المللی GRE، TOEIC، TOLIMO</p>
<p>- برگزاری دوره های TTC، مکالمه تخصصی، مکالمه تجاری، کارگاه ترجمه</p>","کلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیس"
"آموزشگاه زبان دانش(مدرسه  می باشد)","<p>موسسه زبان انگلیسی</p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-ielts-toefl ibt"
"آموزشگاه زبان سما 1","<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;"">آموزشگاه زبان دخترانه سما شعبه 1</p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;"">مرکز آموزشی و فرهنگی سما در چهار حوزه مهم آموزش عمومی و فرهنگ ، آموزش عالی ، زبان آموزی و اشتغال زایی تلاش و همت فراوان داشته است و اکنون پس از گذشت بیش از ربع قرن تلاش :</p>
<p style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه آموزش عمومی و مدرسه داری :</span><span style=""line-height: 22.8267px;"">14 آموزشگاه غیرانتفاعی در مشهد و گلبهار با بیش از 3000 دانش آموز از دوره پیش دبستانی تا دبیرستان</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه آموزش عالی و مهارت :</span><span style=""line-height: 22.8267px;"">یک واحد آموزشكده فنی و حرفه ای با بيش از 2500 دانشجوی مقطع کاردانی ، 35 استاد هیات علمی و تعداد 14 رشته تحصیلی فنی و حرفه ای</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه زبان آموزی :</span><span style=""line-height: 22.8267px;"">3 آموزشگاه زبانهای خارجی با حدود 400 زبان آموز</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه اشتغال زایی :</span><span style=""line-height: 22.8267px;"">تعداد 107 نفر پرسنل استخدامی ، 35 عضو هیات علمی استخدامی و حدود 600 استاد و معلم به صورت حق التدریس در مجموعه مرکز آموزشی و فرهنگی سما مشهد شاغل هستند.</span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-"
"آموزشگاه زبان سما 2","<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;"">آموزشگاه زبان دخترانه سما 2</p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;"">مرکز آموزشی و فرهنگی سما در چهار حوزه مهم آموزش عمومی و فرهنگ ، آموزش عالی ، زبان آموزی و اشتغال زایی تلاش و همت فراوان داشته است و اکنون پس از گذشت بیش از ربع قرن تلاش :</p>
<p style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه آموزش عمومی و مدرسه داری :</span><span style=""line-height: 22.8267px;"">14 آموزشگاه غیرانتفاعی در مشهد و گلبهار با بیش از 3000 دانش آموز از دوره پیش دبستانی تا دبیرستان</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه آموزش عالی و مهارت :</span><span style=""line-height: 22.8267px;"">یک واحد آموزشكده فنی و حرفه ای با بيش از 2500 دانشجوی مقطع کاردانی ، 35 استاد هیات علمی و تعداد 14 رشته تحصیلی فنی و حرفه ای</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه زبان آموزی :</span><span style=""line-height: 22.8267px;"">3 آموزشگاه زبانهای خارجی با حدود 400 زبان آموز</span></p>
<p dir=""RTL"" style=""margin-top: 0px; margin-bottom: 10px;""><span style=""line-height: 22.8267px;"">در حوزه اشتغال زایی :</span><span style=""line-height: 22.8267px;"">تعداد 107 نفر پرسنل استخدامی ، 35 عضو هیات علمی استخدامی و حدود 600 استاد و معلم به صورت حق التدریس در مجموعه مرکز آموزشی و فرهنگی سما مشهد شاغل هستند.</span></p>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-"
"آموزشگاه زبان دکتر حسابی","<h5 style=""margin-top: 0px; margin-bottom: 15px; padding: 0px; border: 0px; vertical-align: baseline; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; line-height: 23px;"">موسسه آموزشی دکترحسابی در سال تحصیلی ۹۰-۹۱ با هدف توسعه روش های آموزشی نوین و خدمت دهی از طریق اینترنت به فارسی زبان های عزیز در سراسر کره خاکی و با شعار الگو گرفتن از بهترین مدارس دنیا در شهر مقدس مشهد افتتاح گردید. و هم اکنون با راه اندازی شعبه های متعدد در زمینه های مختلف آموزشی مشغول به فعالیت می باشد. با اخذ مجوز از وزارت آموزش و پرورش در سال تحصیلی ۹۰-۹۱ مدرسه آموزش از راه دور شعبه سیدی، در سال تحصیلی۹۲-۹۳ مدرسه آموزش از راه دور شعبه طرق و در سال تحصیلی۹۳-۹۴ شعبه پیش دبستانی و دبستان هوشمند دکترحسابی را افتتاح نمود. و همچنین &nbsp;در سال تحصیلی ۹۳-۹۴ با اخذ مجوز آموزشگاه زبان های خارجی از وزارت آموزش و پرورش فعالیت خود را درناحیه۶ مشهد به عنوان یک آموزشگاه زبان توسعه داد.<br />ضمنا با اخذ مجوز موسسه تک منظوره فرهنگی و هنری از وزارت فرهنگ و ارشاد اسلامی با نام فن آذین توس هخامنش کار خود را به عنوان یک آموزشگاه با رویکردی متفاوت در رشته مدیریت و برنامه ریزی خانواده شروع نمود.</h5>","زبان-کلاس زبان-زبان انگلیسی-کلاس زبان مشهد-آموزشگاه زبان-آموزشگاه زبان مشهد-"
"آموزشگاه زبان دماوند (شعبه 2)","<p>آموزشگاه زبان</p>","کلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی"
"آموزشگاه زبان دماوند (مرکزی)","<p>آموزشگاه زبان دماوند</p>","فکلاس زبان-زبان خارجه-زبان انگلیسی-دوره زبان-آموزش زبان-آموزش زبان-کلاس زبان مشهد-زبان-زبان انگلیسی-زبان فرانسوی- فرانسه-عربی-آلمانی-ترکی استانبولی-ایتالیایی-اسپانیولی-اسپانیایی"
"آموزشگاه کامپیوتر راشد(وکیل آباد- IT)","آموزشگاه کامپیوتر راشد(وکیل آباد- IT) واقع در شهر مشهد و در محله وکیل آباد میباشد. دوره‌های ICDL شامل هفت مهارت هستند که می‌توان گفت یادگیری آن‌ها از الزامات زندگی امروزی است. این هفت مهارت عبارتند از:&#10;- مبانی کامپیوتر: در این دوره با مفاهیمی مثل اینکه سخت افزار چیست، نرم افزار چیست، انواع آن‌ها، اجزای هر یک و خلاصه مفاهیم کلی کامپیوتر آشنا خواهید شد.&#10;- Windows: در این دوره کار با سیستم عامل ویندوز را فراخواهید گرفت.&#10;- Internet: در این دوره یاد خواهید گرفت که چطور در اینترنت بگردید، ایمیل بسازید، وبلاگ بسازید و مباحث مرتبط با اینترنت...&#10;این سه مهارت، ICDL2 را تشکیل می‌دهند. که ممکن است شما با توجه به اینکه آن‌ها را به صورت تجربی یاد گرفته‌اید، نیازی به گذراندن این دوره‌ها نداشته باشید.&#10;البته فراموش نکنید که مدرکی که در انتهای این دوره‌ها داده می‌شود، در خیلی از مراکز لازم بوده و باعث افزایش مزایای شما خواهد شد. مثلاً اگر در یک شرکت صنعتی مشغول به کار شوید، ارائه این مدارک ممکن است باعث افزایش جایگاه و حقوق شما شود.&#10;چهار دوره بعدی را در اصطلاح ICDL1 می‌نامند:&#10;- Word: در این دوره با نرم افزار طراحی اسنادی مثل پایان‌نامه‌ها، تحقیق‌ها، کتب و ... آشنا می‌شوید. مثلاً این کتاب آموزشی توسط نرم افزار وُرد ایجاد شده است: http://aftab.cc/tutorial/401&#10;- Excel: در این دوره با نرم افزار اِکسِل آشنا می‌شوید و خواهید توانست امور حسابداری در حد مراکز کوچک، گزارش و آمارگیری، رسم نمودار و ... را انجام دهید. مثلاً این فایل حسابداری توسط اکسل ایجاد شده است: http://aftab.cc/article/968&#10;- PowerPoint: در این دوره با پاورپوینت یعنی نرم افزار تهیه اسلایدهای ویژه سمینارها و کلاس‌ها آشنا خواهید شد. ممکن است بخواهید از دانسته‌های خود برای تولید برنامه‌های آموزشی نیز استفاده کنید. به طور مثال این اسلایدها توسط  پاورپوینت ایجاد شده است:&#10;https://docs.google.com/present/view?id=dhc4qtwc_134gnj3ktm3&#10;- Access: اَکسِس نرم افزاری نسبتاً پیشرفته جهت تولید برنامه‌های کاربردی در حد کوچک است. مثلاً می‌توانید یک نرم افزار مدیریت کتابخانه تولید کنید. مثلاً این نرم افزار مدیریت کتابخانه توسط اکسس ایجاد شده است: http://library.aftab.cc","کلاس کامپیوتر-کلاس ای سیدی ال-کلاس ICDL - آموزش نصب ویندوز-آموزش کامپیوتر"
